0.01196,0.0021015,0.00012136
0.012917,0.0016215,9.3579e-05
0.01395,0.0012496,7.2557e-05
0.015066,0.00097258,5.6462e-05
0.016271,0.00073981,4.3351e-05
0.017573,0.00058227,3.4589e-05
0.018979,0.00043673,2.6657e-05
0.020497,0.00034294,2.1318e-05
0.022137,0.00028821,1.561e-05
0.023908,0.00022823,1.2365e-05
0.025821,0.0001726,9.4499e-06
0.027886,0.00014163,7.798e-06
0.030117,0.00011411,6.3554e-06
0.032527,9.2256e-05,5.7303e-06
0.035129,7.3654e-05,4.7554e-06
0.037939,5.5293e-05,3.7457e-06
0.040974,4.5055e-05,3.088e-06
0.044252,3.6823e-05,2.61e-06
0.047792,2.927e-05,2.1973e-06
0.051616,2.6296e-05,9.5909e-07
0.055745,2e-05,7.6824e-07
0.060205,1.6557e-05,6.5864e-07
0.065021,1.3222e-05,6.011e-07
0.070223,1.0497e-05,5.2123e-07
0.075841,8.5867e-06,4.8258e-07
0.081908,7.9277e-06,4.564e-07
0.08846,7.0419e-06,4.1655e-07
0.095537,5.2022e-06,3.6798e-07
0.10318,3.9606e-06,3.4266e-07
0.11143,3.6779e-06,3.2484e-07
0.12035,3.395e-06,3.2089e-07
0.12998,3.0361e-06,3.1475e-07
0.14038,2.5677e-06,3.4343e-07
0.15161,2.3515e-06,3.7569e-07
0.16373,2.3717e-06,4.3252e-07
0.17683,1.2861e-06,5.0464e-07
0.19098,1.1406e-06,5.6431e-07
0.20626,1.833e-06,6.0537e-07
0.22276,1.5493e-06,6.6422e-07
0.24058,1.4754e-06,7.5148e-07
0.25983,2.0673e-06,8.4512e-07
0.28061,1.9068e-06,9.2227e-07
0.30306,1.7166e-06,8.8366e-07
0.32731,2.342e-06,9.7812e-07
0.35349,1.981e-06,1.0495e-06
0.38177,8.9698e-07,9.6639e-07
0.41231,2.1896e-06,1.0374e-06
0.44529,2.4208e-06,1.1088e-06
0.48092,1.3852e-06,1.1838e-06
0.51939,2.4263e-06,1.2097e-06
0.56094,2.2276e-06,1.1812e-06
0.60582,1.6363e-06,1.1739e-06
0.63956,1.644e-05,2.8659e-05
